	v7EBR1	v8EBR1	v12EBR1	v17EBR1	v7MBR1	v8MBR1	v12MBR1	v17MBR1	v7LBR1	v8LBR1	v12LBR1	v17LBR1	v7WBR1	v8WBR1	v12WBR1	v17WBR1	v7EHR1	v8EHR1	v12EHR1	v17EHR1	v7MHR1	v8MHR1	v12MHR1	v17MHR1	v7LHR1	v8LHR1	v12LHR1	v17LHR1	v7WHR1	v8WHR1	v12WHR1	v17WHR1	FemaleA1R1	FemaleA2R1	FemaleA3R1	FemaleA4R1	FemaleO1R1	FemaleO2R1	FemaleO3R1	FemaleO4R1	FemaleH1R1	FemaleH2R1	FemaleH3R1	FemaleH4R1	FemaleL1R1	FemaleL2R1	FemaleL3R1	FemaleL4R1	FemaleM1R1	FemaleM2R1	FemaleM3R1	FemaleM4R1	FemaleT1R1	FemaleT2R1	FemaleT3R1	FemaleT4R1	MaleA1R1	MaleA2R1	MaleA3R1	MaleA4R1	MaleC1R1	MaleC2R1	MaleC4R1	MaleH1R1	MaleH2R1	MaleH3R1	MaleH4R1	MaleL1R1	MaleL2R1	MaleL3R1	MaleL4R1	MaleM1R1	MaleM2R1	MaleM3R1	MaleM4R1	MaleT1R1	MaleT2R1
XP015520787.1	15.341	8.341	8.284	18.484	6.011	18.47	9.992	8.311	17.65	13.588	12.75	17.902	8.551	4.334	8.116	10.932	14.209	11.588	11.299	11.369	13.241	16.067	24.393	18.658	9.726	8.672	10.019	7.645	7.598	5.978	7.197	11.055	16.06	20.944	23.402	22.02	12.394	21.671	21.729	20.661	17.811	19.51	20.786	28.342	20.015	18.148	20.928	24.138	12.311	13.776	18.943	17.04	12.504	21.945	10.207	17.26	18.574	24.051	26.12	24.617	20.377	41.669	23.022	23.132	26.724	23.295	18.758	20.599	22.291	17.349	19.211	15.898	21.29	13.602	12.701	8.746	18.886
KYN16683.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.288	0	0	0	0	0	0	0	0	0
XP015515664.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.411	0	0	0	0	0	0	1.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.467	0	0	0	0	0	0
JAB64975.1	0	0	0	38.702	0	0	18.192	0	0	12.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.843	0	0	0	0	0	0	0	0	0
XP015524001.1	127.914	75.218	115.049	92.596	111.21	80.494	98.602	29.988	22.319	84.844	45.437	120.109	64.796	90.455	70.256	76.938	145.891	271.206	191.873	92.623	175.604	175.612	70.69	155.646	193.818	272.63	92.057	244.037	37.239	102.865	57.842	59.772	206.599	286.735	212.952	148.418	224.637	147.353	187.104	144.065	219.829	125.074	111.85	43.7	244.099	178.263	279.998	205.396	227.023	253.455	159.809	116.562	130.919	134.117	118.48	145.422	174.096	166.661	236.76	126.17	103.307	106.848	221.277	91.903	19.86	77.526	88.325	181.45	190.994	198.712	154.713	182.926	190.911	209.792	145.986	50.556	152.407
XP015518710.1	0	11.469	0	22.583	0	10.153	0	0.112	7.939	7.409	0	6.519	0	0	14.249	2.832	7.317	5.409	0	0	1.05	12.49	7.143	2.201	0	0	0	0	6.375	7.257	6.739	20.873	9.801	23.143	14.13	12.017	0	23.516	4.942	10.47	17.494	13.76	15.215	12.32	0	12.589	17.81	16.74	7.432	21.844	7.58	17.371	6.309	2.485	7.127	14.956	41.662	25.404	16.948	4.609	25.64	2.513	12.385	42.248	53.763	29.802	21.445	17.31	30.475	10.325	12.39	0	11.809	12.802	15.065	38.099	7.787
XP018915835.1	0.627	0	0	0.985	4.294	0.83	2.08	0	0	0.724	3.722	0	0	0	0.987	2.085	2.212	0.761	9.515	1.293	1.914	1.642	0	2.874	0.897	0	0	5.557	0	0	1.114	3.345	19.498	23.332	7.952	10.774	1.771	2.07	1.349	2.238	11.877	10.879	13.158	13.821	0	1.15	1.738	1.86	2.663	3.12	5.681	2.284	2.631	4.072	1.153	4.865	30.714	18.864	10.367	20.923	3.878	9.392	0	8.507	8.963	15.787	12.831	2.529	3.054	4.409	1.87	7.645	6.729	5.828	1.947	0	4.249
XP015522180.1	0	0	0	0	0	0	0	0	0	0.839	0	0	0	1.447	0	0	0	0.513	0	0	0	0	0	0.119	0.587	0	0	1.491	0	0.237	0	0	0.096	0	0.246	0.359	0.527	2.242	0	0.665	0.267	0.631	0	0	0	0.633	0.701	0.514	0	0.9	0	0	0.745	0.438	0	1.327	1.499	0	0	1.183	0	0.555	2.453	0	0.658	0.363	0.584	0	0	0	0	0	0.466	1.708	1.607	0	1.383
XP015509705.1	0	0	0	0	0	0	0	0	0	0.203	0	0	2.248	0	1.158	2.403	1.16	0	0	0	0	0	0	0.087	0	0	0	0	0.762	0.882	0.498	0	7.036	8.799	5.542	6.31	0	0	0.557	0	0.195	0	0	0.116	0.627	0.694	0.256	0.377	0.957	0	0	0	0.179	0	0	0.971	7.675	2.282	0	0.866	0	0	1.789	0.505	0	0	0.213	0	0	0	0.391	0	0	0	0	0	0.339
XP015510123.1	5.518	3.575	7.689	11.035	1.718	9.089	9.028	3.594	6.054	10.405	7.812	6.418	4.792	14.847	11.983	11.775	11.404	6.559	17.657	8.68	8.575	11.395	12.776	13.861	11.756	8.672	10.242	13.106	6.514	8.214	10.108	17.725	21.421	12.073	20.42	13.592	7.729	16.387	23.072	18.923	20.454	22.74	18.155	25.782	4.371	15.903	14.604	18.055	23.26	8.528	17.159	15.53	9.355	9.321	7.998	17.708	31.843	25.192	17.913	38.102	25.783	15.626	10.766	16.524	20.255	20.369	18.205	10.867	21.012	19.05	26.853	13.627	15.86	12.904	15.447	1.06	10.115
XP015523320.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.427	0	0	4.202	0	0	1.569	0	0	1.884	0	0.68	19.808	0	0	2.354	0	0	6.435	0	3.992	3.536	0	0	7.059	11.452	4.52	7.695	0	8.364	0	0	0	4.276	4.941	0	0	0	4.159	41.721	19.596	19.672	26.893	0	0	4.17	7.669	4.288	0	5.214	13.825	3.187	17.676	0	0	7.517	0	0	4.063	20.724	16.127	21.137	4.096
XP015509167.1	59.359	12.809	38.945	44.653	76.859	52.585	49.25	90.412	67.044	58.232	61.246	15.841	10.235	15.057	11.449	21.49	34.556	22.568	24.857	15.927	23.145	46.627	59.182	31.3	48.459	7.832	7.562	13.047	15.422	17.008	14.434	25.413	68.327	63.404	76.733	85.893	74.72	58.869	98.718	88.297	73.786	59.085	53.905	49.057	115.408	53.328	109.896	87.914	64.709	104.033	67.244	59.438	32.138	69.396	59.904	57.045	124.518	76.704	110.706	87.568	79.75	59.86	75.428	89.156	46.035	82.714	65.61	137.622	95.604	136.878	109.153	146.933	82.917	111.273	71.149	34.985	72.094
XP015607290.1	1.17	1.043	0.723	0.591	0	0	0	0	0	0.246	0	0.878	0.686	1.288	0.936	1.456	2.347	2.272	0	0.512	0.811	1.329	0	0.95	3.114	1.2	0.8	2.657	4.647	4.29	2.989	0.738	0.577	1.982	0.867	1.12	0.935	0	0	0.591	0	0.333	0.418	0.137	0	0.844	1.241	0	0	0	0	0	0.443	0	0.607	0	2.66	0	0	0.524	1.01	0.986	0	0.617	0.583	0.325	0.261	0.415	0.776	0	0.476	0	0	0.508	0.354	0	0.412
XP015510532.1	11.454	7	17.699	12.651	0	34.479	17.82	7.413	35.613	22.821	16.841	8.545	28.353	29.201	24.52	36.687	22.68	17.948	27.965	24.598	23.145	27.951	18.08	32.519	25.599	22.845	34.406	39.236	18.802	25.609	31.897	42.431	61.042	53.727	58.317	35.157	29.144	51.345	42.605	47.639	61.397	55.723	46.558	44.554	30.256	43.509	33.904	36.93	39.336	29.457	39.25	32.766	30.658	53.699	29.627	49.366	94.674	61.236	40.222	60.061	54.771	56.609	49.398	55.086	45.32	47.979	37.346	33.133	73.193	60.919	47.877	29.622	36.954	46.111	31.008	11.529	27.252
XP015516949.1	1.756	2.681	5.075	1.774	2.04	11.129	10.499	4.38	44.45	7.438	8.623	4.796	15.539	18.182	20.351	20.599	2.367	2.757	1.395	2.596	3.709	3.577	1.424	4.203	9.946	11.533	17.395	20.065	36.112	43.401	17.817	23.574	2.284	7.39	5.924	13.093	4.735	11.373	12.256	19.61	2.635	6.3	10.906	12.235	3.435	11.799	13.808	15.203	17.913	44.19	84.793	139.139	4.225	6.499	1.223	8.317	2.015	5.612	6.403	7.377	7.638	8.949	12.08	3.735	1.178	0.65	2.085	14.758	5.851	7.112	8.64	62.347	65.574	86.171	84.876	3.909	7.847
XP015509527.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.411	0	0	0	0	67.114	0	0	0	4.591	0	0	0	0	0	0	0	0	3.582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.06	0	0	33.633	0	0	0	0	0	0	0	0
XP015520135.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.04	10.287	4.19	14.634	3.521	0	18.62	4.692	5.48	6.232	8.614	4.314	20.802	8.451	17.781	7.625	267.88	184.868	180.957	98.026	0	0	0	0	0	4.63	0	4.95	0	0	0	0	0	0	0	0	7.643	0	0	11.363	5.424	3.809	11.143	0	0
XP015509824.1	27.715	7.596	31.734	43.273	0	44.821	27.119	11.456	54.112	55.945	43.594	25.265	196.698	118.376	241.792	246.329	48.961	42.636	74.591	30.003	36.081	50.302	37.401	54.194	61.951	51.591	58.849	52.763	106.04	112.111	186.374	197.403	187.077	134.852	166.069	76.633	83.364	107.89	110.399	72.907	151.876	139.838	165.468	151.99	68.296	106.664	105.055	77.107	129.205	88.023	91.409	61.715	73.49	89.373	69.205	90.594	203.924	161.395	116.982	173.747	110.69	84.062	86.641	247.713	232.897	201.463	188.072	80.9	118.238	115.7	106.875	93.888	80.527	121.541	57.804	25.311	48.506
KMR04940.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.621	0	0	0	0	0	0	0	0	0	0	0	0	0	4.892	0	0	0	3.155	1.615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.492	0	0	0	0	0	0	0	0	0
XP015520611.1	16.93	16.235	41.196	26.859	15.565	29.235	23.704	6.065	19.573	23.298	26.754	19.557	50.238	60.559	70.165	81.791	33.996	27.388	20.821	28.059	20.54	31.655	26.535	30.968	21.49	31.697	29.424	17.467	53.358	59.549	60.281	48.852	78.44	73.422	113.31	115.755	72.382	80.488	113.666	100.306	87.172	79.754	112.686	116.607	69.828	87.515	112.08	129.3	75.046	86.921	98.668	102.549	100.799	85.187	94.194	95.292	87.806	120.31	151.793	123.427	75.042	106.6	69.662	73.732	105.186	98.52	92.89	100.042	102.548	106.665	110.144	96.631	103.606	107.939	104.196	73.415	136.733
XP015515929.1	3866.191	4200.567	1682.912	3030.834	3118.388	925.347	1209.956	929.054	494.709	1408.545	2043.702	2100.835	0	0	25.285	0	0	24.517	0	0	0	0	0	0	0	16.214	0	0	0	0	0	0	4.432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XP015523927.1	0	0	0	0	0	0	0	0	0	0	0	0	17.388	50.871	48.989	25.524	0	1.283	0	4.354	0.572	0	0	1.488	1.467	0	0	0	5.248	1.215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.653	0	0	0	0	0	0	0	0	0	0	0	0
KMQ84602.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.858	0	5.489	0	2.365	0	1.124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XP015511256.1	0	0	0	0	0	0.757	0	0	6.791	1.201	0	1.587	1.267	0	1.732	0.541	0.964	0	0	0	0	0	0	0.198	0	0	0	0	0	0	0	0	0.305	0	0	0	0	0	0	0	0.44	0	0	0	0	0.524	0	0	0	0	0	0	3.385	0.804	1.126	3.452	0	0	0	0	0	1.821	0	0	0	0	0	0	0	0	0	0	0	0	0.658	0	2.48
XP015518372.1	2.132	2.383	5.32	1.734	3.113	3.03	4.058	3.145	1.81	4.081	14.04	1.284	1.519	5.723	7.995	8.211	4.518	3.707	6.145	6.094	3.47	5.414	0	7.663	6.538	4.011	4.156	7.859	5.505	5.558	4.431	3.844	8.471	4.697	10.146	7.124	5.908	4.91	8.499	9.163	4.931	5.864	7.393	7.642	5.051	5.43	4.148	9.132	11.21	5.897	7.711	6.634	2.942	6.937	6.74	8.725	7.9	13.041	12.755	11.62	6.734	6.932	1.612	13.714	5.634	7.183	8.425	8.855	12.599	7.939	12.339	8.38	7.667	13.107	10.853	3.843	5.154
XP015522242.1	0	0	0	0	0	0	0	0	0	0	0	0	0.573	0	0	0	0	0	0	0	0	0	0	0.063	0	0	0	0	0	0	0	0	1.923	0.951	1.821	0.866	1.124	0.553	2.831	0.352	0.996	2.003	2.08	2.839	0	0.674	1.818	0	0.489	0	1.784	1.555	0.368	0.984	0.361	0	3.999	1.114	4.879	3.938	1.21	1.181	0	3.329	2.454	2.129	1.702	0.251	2.781	2.703	1.994	0	0	1.213	0.212	0	0.339
XP015120513.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.847	8.348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.819	0.895	0	1.122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.884	9.409	5.194	2.079	0	6.212	4.532	19.126	0	0	0	0	0	0
XP015521778.1	5.058	0	0	6.109	0	0.801	2.874	10.445	6.416	3.314	0	0	0	3.379	0	0.239	4.923	4.772	0	0	5.943	2.003	0	2.644	1.361	3.161	0	0	2.264	3.688	0	1.943	2.621	0.915	2.56	1.287	1.572	0	0.69	0	9.126	5.233	2.355	6.252	0	2.824	0.329	1.124	1.087	0.837	0	1.54	0.877	0	0	0.706	17.493	11.13	1.652	4.109	0	0	0	2.404	10.267	4.398	5.367	2.458	5.316	1.261	3.745	0	2.758	1.992	0.637	0	0
XP015522172.1	66.549	33.96	68.194	61.068	24.26	70.065	47.188	44.364	81.499	131.036	46.432	56.002	142.788	175.245	124.944	145.991	91.913	75.281	90.747	75.533	75.724	110.572	74.57	105.902	117.926	77.177	77.745	129.863	101.973	120.604	116.117	141.652	114.607	98.54	90.052	92.256	136.439	122.746	175.156	174.202	136.808	136.974	143.765	256.82	359.709	480.854	490.729	619.736	152.803	129.477	112.902	100.889	168.819	188.046	191.336	272.195	126.646	139.745	91.421	111.576	101.842	120.613	121.56	134.767	201.786	156.671	151.364	166.293	222.567	197.751	234.893	96.324	98.115	93.544	110.9	142.59	215.291
XP015514029.1	3.135	1.787	4.317	4.434	5.26	2.84	3.128	1.348	3.096	4.197	2.395	3.276	1.085	4.486	1.933	1.567	6.09	4.753	2.188	5.694	3.164	3.851	3.572	3.808	3.285	4.001	4.063	5.04	1.18	2.107	1.324	3.283	3.021	2.759	4.819	3.903	2.825	2.937	6.624	5.408	3.234	4.447	4.212	3.75	2.871	2.32	4.235	3.756	2.581	2.519	1.646	1.653	1.952	4.323	4.224	5.221	2.951	4.112	2.287	4.463	1.596	3.897	3.449	3.322	3.518	3.072	3.927	3.782	5.381	3.571	3.014	5.509	4.327	2.88	4.071	0.795	5.054
XP015512040.1	23.785	21.001	37.37	43.746	12.559	50.21	37.787	19.542	32.093	41.329	35.598	35.128	5.391	10.911	6.243	10.598	42.831	27.816	35.165	16.402	29.34	33.385	40.973	35.282	31.738	18.524	22.817	32.108	10.689	14.094	14.867	0	17.214	11.477	8.969	18.397	15.905	10.088	7.174	13.191	10.31	15.545	4.711	6.91	15.133	8.656	18.365	16.285	19.53	9.003	15.758	11.721	8.657	11.396	9.917	7.978	6.53	0	11.459	10.827	0	0	7.907	15.276	9.392	12.396	11.567	16.152	18.324	12.624	12.52	22.516	11.816	10.83	8.644	9.475	5.939
NlGR31	0	0	0	0	0	1.442	0	0	0	2.634	0	0	0	0	0	2.053	3.298	1.597	0	0	0	0.782	0	0	0	0	0	0	0	0	0	0	0.289	1.394	0.763	0.56	1.651	0	0	0	0.837	0	0	0	0	1.98	0	1.603	2.044	2.798	0	0	0	0	0	0	4.692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.124	2.911	1.776	2.513	0	0
BAM20251.1	975438.196	3632121.799	75265.569	174641.563	2682871.46	134805.643	124595.48	2143271.567	55946.904	49874.192	380360.006	323035.526	25474.67	10828.849	35869.52	12864.577	14513.2	48581.459	26086.522	46922.101	120722.208	34723.181	3833.798	21119.136	21389.134	19576.433	10969.635	4957.514	5213.761	15932.473	32054.268	5041.911	9558.956	6630.883	8570.35	29905.57	25786.844	13184.971	5505.211	6556.024	14594.596	4558.311	2791.483	4536.903	70717.803	13171.938	10835.547	1319.007	14098.127	18812.3	62879.438	49983.012	84666.045	18470.665	42326.568	8956.044	3851.336	7085.782	14400.127	2886.473	4632.336	3809.016	7771.091	3984.884	4177.766	4366.272	2788.986	18279.539	2495.83	4792.434	3558.315	14125.549	8864.351	23617.843	39216.457	1509881.914	31444.422
XP015524062.1	9.28	12.362	16.964	10.523	6.333	12.236	15.03	11.456	14.929	12.025	2.874	8.579	12.075	18.645	17.662	10.264	20.239	21.912	19.391	6.605	13.082	23.27	25.801	23.012	12.53	17.424	12.941	10.501	11.343	13.396	15.863	18.099	16.397	22.403	22.543	33.486	22.887	20.729	21.91	27.518	31.132	38.486	29.468	36.269	15.016	13.324	8.054	28.856	12.484	13.965	9.786	17.829	24.537	22.017	20.352	28.103	0	11.104	22.893	30.921	7.221	25.136	3.95	17.329	34.486	36.392	37.4	22.305	0	12.952	16.39	19.188	26.383	29.792	26.867	21.799	24.153
