	v7EBR1	v8EBR1	v12EBR1	v17EBR1	v7MBR1	v8MBR1	v12MBR1	v17MBR1	v7LBR1	v8LBR1	v12LBR1	v17LBR1	v7WBR1	v8WBR1	v12WBR1	v17WBR1	v7EHR1	v8EHR1	v12EHR1	v17EHR1	v7MHR1	v8MHR1	v12MHR1	v17MHR1	v7LHR1	v8LHR1	v12LHR1	v17LHR1	v7WHR1	v8WHR1	v12WHR1	v17WHR1	FemaleA1R1	FemaleA2R1	FemaleA3R1	FemaleA4R1	FemaleO1R1	FemaleO2R1	FemaleO3R1	FemaleO4R1	FemaleH1R1	FemaleH2R1	FemaleH3R1	FemaleH4R1	FemaleL1R1	FemaleL2R1	FemaleL3R1	FemaleL4R1	FemaleM1R1	FemaleM2R1	FemaleM3R1	FemaleM4R1	FemaleT1R1	FemaleT2R1	FemaleT3R1	FemaleT4R1	MaleA1R1	MaleA2R1	MaleA3R1	MaleA4R1	MaleC1R1	MaleC2R1	MaleC4R1	MaleH1R1	MaleH2R1	MaleH3R1	MaleH4R1	MaleL1R1	MaleL2R1	MaleL3R1	MaleL4R1	MaleM1R1	MaleM2R1	MaleM3R1	MaleM4R1	MaleT1R1	MaleT2R1
XP015510033.1	2.174	0	0	4.099	0	0	0	0	0	4.457	0	0	9.15	14.63	0	10.813	6.589	6.284	0	7.303	5.397	7.007	0	7.663	6.693	0	6.024	0	0	7.676	0	3.647	9.472	19.339	5.956	5.024	7.341	13.212	0	5.885	23.623	20.221	7.462	16.459	8.657	6.009	2.534	18.934	14.541	0	0	6.732	5.102	14.211	14.263	11.757	18.719	0	0	0	11.866	13.335	0	17.329	22.949	16.061	18.685	0	13.38	0	12.118	0	6.557	7.096	5.168	11.065	15.907
XP015513459.1	22.03	12.065	24.746	14.07	4.723	27.472	19.511	4.942	28.123	24.5	14.151	12.43	21.034	30.323	41.225	24.633	45.967	57.618	52.835	59.82	33.993	58.247	40.503	74.427	50.391	38.538	36.391	53.324	13.082	24.405	27.348	28.551	32.721	21.394	26.097	14.73	11.857	8.571	11.439	12.856	39.651	46.261	33.927	37.243	8.05	11.82	10.362	12.194	15.553	5.723	9.617	8.58	10.383	11.102	9.063	11.838	24.507	27.142	17.964	26.873	19.142	14.575	11.884	59.381	51.114	51.522	60.061	9.591	14.653	11.826	17.086	12.502	11.656	13.209	7.695	8.216	12.582
XP015510986.1	0	0	20.242	0.138	0	0	0	0	0	13.27	12.935	0	17.475	4.254	11.721	3.835	3.615	13.594	0	0.372	0	4.515	0	7.615	0	8.462	10.701	25.4	0	3.301	7.329	0	7.637	3.76	4.564	3.965	0	5.037	11.875	5.647	5.126	1.01	2.705	5.346	0	0	0	5.592	6.627	10.775	0	0	4.13	1.845	0	13.71	0	11.488	0	17.228	7.277	0	0	0	0	2.141	6.492	0	0	0	0	0	7.403	3.741	6.421	0	0
XP015511525.1	19.229	12.66	11.165	23.686	5.367	7.793	12.765	9.771	9.287	17.177	17.209	12.768	4.436	4.168	3.625	8.832	14.553	13.585	8.892	9.731	11.991	12.011	9.134	16.45	8.307	14.803	7.717	16.323	1.159	3.44	7.617	0.104	4.424	11.702	4.691	9.969	5.948	5.081	9.491	3.21	0.924	9.795	4.086	7.453	2.52	7.138	4.469	5.239	0	5.353	2.871	2.254	6.016	10.355	7.039	10.574	4.692	5.545	4.548	6.608	4.489	3.609	10.054	0	3.1	3.333	5.246	1.19	2.218	3.09	1.003	6.603	4.56	0.8	3.228	4.572	6.018
XP011862716.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.776	0	0	0	0	0	0	10.724	0	0	0	0	0	0	0	24.179	10.549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.102	0	0	0	0	0	0	0
NlOR20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.74	101.03	66.531	110.32	0	0	0	0	0	2.846	0	0	0	14.378	0	0	0	0	0	0	11.241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KMQ85762.1	0	0	0	1.714	0	0	6.459	0	3.607	0	0	0	8.065	3.791	2.769	0.859	1.383	2.681	0	0	1.196	0	0	0	0	0	0	0	0	0.634	0	0	0	0	0	0.473	0	0	0	0	0	3.288	0	0.822	0	0.83	0	0	0	0	0	1.097	1.301	3.447	0	3.469	0	0	0	0	0	0	0	0	0	1.906	0.76	0	0	0	0	0	0	1.491	0	7.686	2.414
XP018398069.1	0	0	0	0	0	0	0	0	6.491	0	0	0	0	0	0	0	0	0	0	0	0	1.173	0	1.678	0	0	0	7.033	4.926	0	0	0	0	4.203	0	0	0	0	0	0	0	1.182	2.206	0	0	1.497	0	0	0	0	0	0	0	0	0	0	0	4.908	0	11.083	0	0	0	0	0	5.143	1.368	2.184	0	0	5.048	0	2.194	0	0	0	0
XP015514129.1	0	0	0	0	0	0	0	0	0	0.724	0	0	0	5.926	1.5	1.87	0	0	0	0	0	0	0	0.269	1.663	0	0	0	0	0	2.753	3.408	0.793	0	0	1.698	0	0	0	0	2.281	2.697	1.33	0.89	0	0	0.993	2.362	0	0	0	1.195	0.707	0	0	0	0	0	2.897	0	0	0	0	1.976	1.213	3.104	2.462	0	0	1.624	0	0	0	0	0	0	0
KYM94483.1	5.518	10.277	3.407	0	0	17.436	10.381	10.22	0	11.852	0	24.623	0	0	0	0	11.121	2.158	6.556	4.875	9.665	1.046	0	8.502	2.462	2.851	11.402	12.567	0	2.032	5.677	3.512	8.968	1.88	10.305	5.313	2.228	6.284	3.2	11.168	20.266	16.388	5.914	14.537	14.357	6.682	5.9	4.33	2.76	0	7.052	3.539	11.495	7.396	2.877	13.957	18.961	13.173	0	2.475	9.571	18.68	10.319	35.1	19.42	24.506	14.698	1.949	7.326	13.368	0	0	9.812	0	5.076	0	5.819
XP020712416.1	0.711	2.681	0.595	0.729	0	0.335	0	0.899	0	0	1.585	1.081	5.139	0.535	2.548	1.464	0.978	1.521	0.573	1.712	0.678	1.573	2.352	1.544	2.601	0	1.34	0	1.159	0.72	0.747	2.161	11.893	14.708	8.524	9.032	1.562	1.382	0.847	1.477	0.195	0.511	0.522	1.222	3.478	10.704	5.447	12.763	0.489	0.998	1.24	1.713	0.736	0.165	0.255	2.211	2.773	3.86	9.071	10.681	0	0.202	0	0.771	0	0.402	1.076	6.021	3.546	4.233	7.546	1.087	1.379	2.535	1.94	4.307	1.536
XP015517787.1	33.233	8.192	30.124	22.977	0	15.601	32.039	0	6.229	7.308	4.827	4.391	6.094	6.548	8.952	10.017	40.578	44.537	31.653	19.621	2.858	13.233	3.588	5.771	20.463	25.246	19.374	25.297	1.18	31.102	0.76	3.771	0.521	0.501	0	0	1.194	0	0	0.75	2.419	3.546	2.115	3.013	6.742	5.736	0.394	0	0	0	0	0	216.423	134.993	180.548	142.275	0	0	0	0	0	0	0	0.785	3.724	2.874	4.601	0	0	0	0	1.109	0.527	0	0.453	89.251	155.653
XP015512339.1	267.742	351.214	254.19	109.524	73.532	43.67	77.992	12.804	2.422	51.459	48.753	109.672	383.221	48.389	278.375	231.419	2851.749	5735.556	2828.865	1105.683	1119.605	1013.835	373.777	630.288	2916.074	6430.997	3045.762	3205.613	27930.535	44390.957	42760.712	20868.642	3.093	5.488	2.147	16.165	12.065	9.184	6.678	8.158	235.929	42.806	12.339	22.064	191.765	82.521	91.685	159.872	2.305	11.026	7.358	6.649	186.652	13.895	9.6	23.296	7.916	1.831	1.804	25.849	13.98	8.772	4.309	30.517	20.844	23.014	25.566	98.656	107.044	104.882	68.725	13.777	11.466	11.995	16.255	15.438	26.727
XP015517965.1	0	0	0	0	0	0	0	0	0	1.331	0	0	0	0	1.954	1.018	0	0	7.37	0	0	0	0	2.058	0	0	0	0	0	0.785	0	0	5.77	2.054	5.669	0.709	0	0	0	0	1.242	1.056	6.516	2.228	0	4.607	0.891	0	0	0	8.384	1.961	0	0	0	0	11.27	9.644	0	3.487	3.305	2.598	0	0	0	3.741	3.404	0	0	0	4.039	0	1.305	0	0	0	0
XP015521043.1	78.881	54.812	87.783	51.116	63.656	34.566	25.817	32.458	34.24	38.84	82.84	52.286	309.214	179.68	363.322	299.144	59.151	62.057	29.996	23.435	19.051	34.792	6.205	15.191	72.932	106.463	96.04	67.95	878.544	802.847	791.554	609.975	135.54	157.03	154.643	242.232	262.623	266.205	180.341	138.498	23.154	29.098	58.174	34.009	356.625	212.742	251.484	232.225	815.696	1002.194	949.244	907.603	72.971	80.239	78.585	60.348	55.737	46.312	128.772	70.645	170.748	155.324	78.036	22.893	10.491	18.591	21.122	478.719	186.378	259.573	161.42	1531.148	1093.186	1184.543	930.394	37.569	78.498
XP015515879.1	0.502	0.447	1.913	0.769	0	0.903	1.454	0	0	0.333	0	0	0.608	1.715	0.624	0.78	6.865	6.654	3.681	4.103	3.443	4.124	2.498	3.926	4.37	2.401	2.841	2.937	1.653	3.043	1.862	1.642	5.522	0	5.2	6.765	0	0.291	0	1.307	11.732	12.291	15.118	11.74	0.67	1.497	0	2.021	1.294	2.122	0.659	0.661	5.177	3.461	1.61	4.176	1.177	4.524	4.015	3.012	0.898	0.215	0.962	13.405	6.487	15.615	16.381	0.368	0.344	0	0.419	3.088	2.384	3.809	2.69	5.765	4.535
XP015511082.1	4.347	3.128	5.764	1.675	7.085	4.457	6.915	2.471	3.508	2.431	1.069	4.459	6.676	14.76	9.415	6.858	5.112	6.521	2.379	5.601	3.27	5.962	0	5.985	2.087	6.211	2.761	8.361	3.735	6.031	4.117	7.231	5.618	7.492	5.113	4.043	7.261	9.505	8.124	11.822	5.588	6.524	5.96	6.873	6.944	5.335	3.921	8.379	2.67	7.307	5.115	5.996	4.168	6.937	4.171	9.793	5.353	3.714	1.042	5.999	3.473	7.911	9.987	4.597	4.364	5.188	6.966	2.834	3.103	4.204	6.005	1.499	3.083	2.026	6.35	5.963	4.928
XP012139983.1	0	0	0	9.104	0	0	5.985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.225	0	0	0	0	0	3.354	0	0	2.252	0	3.395	2.354	0	0	0	9.669	3.574	6.869	0	0	0	4.239	2.125	0	2.388	0	0	0	0	0	3.317	0	0	2.534	0	0	0	0	0	6.755	0	5.105	6.364	0	0	3.858	13.019	0	0	0	0	0	0
XP015522427.1	7.357	2.979	2.275	7.744	0	0	8.098	0	1.298	1.172	0	0	6.511	5.441	2.447	3.453	5.678	5.922	10.811	0	8.96	0	17.88	3.649	16.647	8.782	22.433	3.645	4.894	3.462	0	11.761	25.476	12.965	7.673	7.019	109.553	100.821	110.472	103.771	13.754	22.264	27.875	18.856	19.185	10.241	12.129	14.323	207.836	54.274	33.109	140.68	9.883	3.296	5.13	6.846	21.508	23.653	0	15.021	0	10.796	20.712	21.919	32.021	18.916	28.094	6.702	0	10.437	17.432	36.923	25.353	17.898	34.98	0	4.183
XP015518521.1	2.383	0	0	3.37	0	0.903	0	0	3.245	2.069	0	0	0	0	0	1.52	0	0	0.694	1.275	0	0	0	0	3.546	0	0	0	3.327	1.903	0	0	6.555	3.71	9.28	2.442	0	0	0	0	7.393	1.647	3.215	0	5.147	4.484	2.366	0.754	0	7.09	1.516	0	0	0	0	0	18.493	27.978	0	7.462	10.363	2.643	0	1.822	0	0	0	3.68	0	2.164	9.512	5.959	0.147	4.561	0	0	0
XP015520514.1	13.502	0.447	0	0	0	0	0	0	19.036	6.584	0	38.505	28.865	0	18.176	16.199	21.864	6.959	0	14.857	0	12.959	0	9.278	8.96	7.192	31.043	0	23.846	15.073	7.499	13.527	9.44	0	9.82	23.351	6.107	0	0	13.174	7.162	2.978	8.848	6.331	23.886	21.972	0	0	4.625	12.604	14.433	11.368	6.318	11.109	0	27.058	0	0	15.525	0	0	24.046	0	11.296	11.44	7.183	0	7.132	0	0	12.651	0	0	18.793	9.005	0	3.844
XP015515033.1	65.044	61.961	47.345	58.013	56.571	43.248	57.247	42.904	70.065	69.403	49.564	60.359	21.295	28.84	29.776	22.151	57.229	46.99	56.8	51.196	56.368	87.058	38.604	59.086	37.469	44.17	52.893	51.161	21.989	34.446	33.536	21.236	28.986	41.909	41.126	68.188	32.108	33.014	26.036	24.922	36.366	43.168	37.262	46.671	24.502	36.133	34.451	46.595	19.565	38.655	23.139	23.224	23.868	46.144	30.207	30.045	33.181	19.607	27.06	16.265	13.824	14.098	18.97	28.415	21.856	41.025	50.821	45.652	30.786	32.993	18.95	51.996	45.853	41.51	32.898	9.674	19.358
XP015515325.1	83.604	52.429	82.638	73.186	37.893	73.808	71.635	39.422	67.244	59.187	74.402	51.003	13.43	20.208	17.179	17.409	49.682	68.883	113.982	56.508	58.455	62.557	33.203	56.141	43.453	59.023	37.768	39.9	21.474	31.995	8.05	26.203	49.326	66.845	28.228	42.124	35.192	24.294	30.022	26.2	43.824	41.779	22.958	18.176	24.768	25.075	26.448	7.846	24.905	31.258	22.381	17.664	22.84	17.873	35.715	27.73	9.851	25.139	21.445	38.285	7.445	13.067	17.094	24.729	10.674	34.671	38.786	9.763	19.187	20.662	10.583	5.697	24.373	7.936	7.476	3.379	17.064
XP015516414.1	0	6.554	0	0	0	1.719	0	0	0	2.171	0	0	0	6.287	0	1.217	0	0	13.494	2	0	0	0	3.016	3.506	0	0	0	4.54	0	5.847	0	5.185	5.285	4.405	3.422	2.208	16.193	21.172	7.947	0	5.182	1.622	13.963	0	0	4.199	7.195	7.866	0	14.525	1.488	1.49	1.889	4.998	2.705	0	31.666	12.222	28.348	0	3.322	0	0	11.429	5.704	4.376	7.313	3.529	8.267	6.311	6.086	5.093	4.785	2.414	0	1.829
KNC26999.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.051	13.14	0	0	0	0	0	0	0	0	0	0	0	0	4.913	0	0	0	0	0	0	0	22.516	0	0	0	0	0	0	9.192	0	12.583	0	0	0	0	7.964	0	0
XP015510201.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.774	0	0	0	0	0	0	0	8.04	0	0	0	0
XP015520615.1	4.807	7	18.737	3.113	0	4.122	10.398	0	2.172	4.602	5.638	0.507	8.933	5.347	10.291	5.196	13.36	23.205	8.205	16.467	11.859	19.439	11.708	15.832	15.392	21.765	25.69	17.305	24.264	26.092	17.056	29.486	1.515	0.472	1.805	1.042	6.674	8.265	1.603	2.448	1.552	1.653	1.725	3.06	0.893	3.178	1.475	3.247	3.799	0.475	0.444	2.878	3.272	0.926	1.443	2.797	0.79	0.544	1.601	1.244	1.796	7.304	6.457	1.829	0.692	1.727	2.76	2.936	0.459	0.668	1.977	1.552	2.212	3.3	2.329	0	2.673
XP015511474.1	0	7.298	3.932	21.065	28.447	7.997	11.497	14.825	8.413	9.884	0	0	12.657	50.046	18.891	32.494	13.825	12.986	13.65	20.923	15.78	17.406	0	15.888	15.539	14.053	16.521	14.751	19.854	16.352	15.116	2.847	25.3	17.691	18.837	25.11	51.355	24.734	31.698	20.377	28.814	32.133	28.03	38.054	36.669	26.341	31.005	38.234	63.333	25.773	38.959	14.666	38.805	23.812	21.963	18.816	32.198	9.711	16.948	24.215	13.649	43.875	28.009	12.866	22.199	29.732	37.236	29.673	69.456	61.318	21.494	13.005	33.308	30.795	36.013	31.407	47.069
XP015510246.1	0.794	3.724	0	0.394	5.582	0.554	2.976	0	0.836	2.547	2.58	0	12.579	14.022	19.162	18.268	5.429	6.816	3.766	0	3.616	6.626	3.842	5.367	6.008	2.871	6.005	7.224	3.166	9.203	9.78	11.107	6.523	3.775	0	13.198	15.228	12.188	21.136	13.583	2.585	4.028	9.341	16.96	0.51	4.634	6.908	20.202	4.356	7.049	6.072	11.488	7.45	10.096	9.503	14.83	3.628	10.095	12.959	7.169	20.62	15.423	5.928	4.618	5.977	5.94	9.817	7.297	4.737	6.526	8.747	2.961	7.33	12.043	12.594	3.512	15.176
XP015522849.1	6777.246	5746.325	7334.064	6772.96	8278.06	5266.726	6648.309	4387.173	6158.803	4989.826	7314.123	6529.584	4166.793	4170.199	3688.493	3395.318	7410.965	7223.068	5665.482	4558.282	6170.118	11107.298	5218.466	5304.981	4361.703	6954.322	5039.918	4885.808	3456.223	6226.656	4839.611	2919.413	5413.641	6230.181	5690.867	4866.712	11251.341	6622.223	4759.271	3602.389	5066.028	3947.184	3552.991	2309.221	8530.174	4867.301	5242.969	3552.692	5993.714	7178.491	4098.307	3273.597	5068.004	4786.824	4426.193	2980.225	4747.147	3429.327	7066.972	2770.02	3249.707	3709.342	3329.613	3466.452	1744.176	2905.071	3068.83	7621.457	4014.109	4335.327	3765.743	7357.406	6302.756	5436.32	4413.92	1789.396	2593.204
XP015513105.1	21.026	2.681	34.791	16.021	7.192	44.165	17.82	0	43.115	38.71	12.64	13.24	48.397	77.432	66.399	65.417	25.155	15.723	25.628	18.569	13.308	27.726	38.453	23.954	23.985	30.767	21.242	28.182	16.065	41.165	20.557	45.486	60.858	77.444	56.003	36.33	50.221	51.464	62.876	53.962	58.813	83.203	53.819	42.384	58.342	61.97	75.438	61.51	62.053	51.915	42.121	40.602	38.503	88.282	50.964	65.144	82.05	80.949	39.308	55.16	41.933	35.318	52.894	39.277	29.687	36.774	30.933	41.706	75.203	45.939	49.271	34.562	45.865	33.743	25.529	6.228	22.77
XP015517156.1	20.441	5.809	17.606	4.453	0	5.011	12.68	0	9.974	9.898	0	14.423	0	9.782	3.112	0	8.963	0	17.189	2.437	2.38	10.916	0.005	9.792	15.897	0	0	14.397	4.368	3.634	10.973	0	4.624	0	12.11	7.229	7.112	0	0	0	0	1.79	0.854	7.163	2.967	4.736	0	0	8.017	7.977	6.976	0	0	1.156	0	0	0	5.134	20.81	12.071	0	2.474	0	0	0	0.325	4.668	0	11.189	0	0	0.007	0	0	5.444	0	0
XP015522492.1	0	0	0	0	0	0	0	0	0	0	0	0	0	17.379	0	3.374	0	0	0	13.48	0	12.959	0	4.481	0	0	9.095	0	0	0	0	29.475	6.139	24.827	14.973	17.145	6.137	56.433	9.588	8.64	2.837	8.51	11.106	8.174	18.76	0	3.87	14	0	0	0	0	5.668	4.761	21.734	6.95	0	0	10.672	0	0	0	0	0	0	0	6.54	0	0	13.011	5.535	0	10.014	25.726	9.048	0	4.675
XP015518613.1	17.264	8.937	6.639	9.932	18.141	7.575	11.734	14.713	2.983	7.438	9.25	9.694	3.334	6.273	1.369	5.116	11.202	8.194	6.74	2.754	9.04	7.437	16.483	6.681	5.56	9.082	4.299	5.166	3.627	5.644	6.712	5.06	5.289	6.563	5.614	5.461	11.429	15.827	7.888	10.617	13.306	6.628	7.496	3.803	16.601	19.223	19.095	15.795	6.242	13.19	7.611	6.724	7.412	6.463	6.503	5.164	3.902	11.289	6.174	6.109	17.708	21.357	6.362	2.705	4.279	6.769	4.784	16.465	17.696	14.013	10.662	5.509	11.092	5.666	7.306	8.879	9.37
XP015515473.1	11.036	8.49	20.429	13.814	6.548	7.108	19.037	10.22	13.544	7.901	8.992	6.857	9.74	20.353	9.637	10.144	17.804	15.106	10.931	16.262	11.606	23.797	8.919	15.341	12.31	17.124	20.286	12.582	4.411	16.954	8.522	4.686	24.851	30.062	29.556	31.91	91.212	127.902	123.774	254.21	83.382	71.589	110.457	147.234	27.533	24.061	24.097	23.097	23.928	35.257	15.283	32.458	174.261	259.761	294.496	444.067	25.297	29.305	42.992	33.055	122.905	158.881	99.839	51.708	43.495	47.01	62.109	18.892	18.33	15.157	16.554	27.523	35.342	25.57	31.624	41.081	174.1
XP015519136.1	0	0	0	0	0	0	0	0	0	0	0	0	13.421	0	0	0	9.205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.915	0	0	0
XP015524021.1	4.18	1.489	0	0	0	2.36	6.323	6.177	3.533	0	0	4.999	0	0	0	0	3.392	0	0	1.489	0	0	0	1.979	1.5	5.211	5.794	0	2.683	0	4.326	0	0.473	0.573	0	2.547	0	0	0	0	2.058	1.934	0	0.606	4.371	0.408	0.453	0.658	0	0	0	0.541	0	0	0.88	3.4	7.707	2.68	0	3.024	0	0.711	0	0.89	0	0	0	0	0	0	0	1.259	0.601	0	0	0	1.184
XP015523330.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.665	22.385	12.912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XP015518505.1	18.268	46.471	0	0	0	0	0	28.977	0	0	0	0	0	36.191	0	5.251	0	8.242	0	5.749	1.462	0.889	0	0	0.97	0	1.663	0	10.399	0.29	0	0	0	5.14	5.383	3.51	0	4.379	0	0	6.548	0	5.398	8.411	0	2.314	0	12.655	8.547	8.94	8.721	3.351	1.679	2.65	8.905	5.841	0	0	0	3.646	0	0	0	1.514	17.183	0	4.68	29.79	7.539	9.393	12.662	23.273	37.947	21.029	0	0	6.012
XP015514189.1	0	0	0	0	0	0	0	0	0	0.984	0	0	0.955	0	1.964	0	0.654	0	0	0	0	0.928	0	0.586	1.451	0.83	0	0	0	0.301	0	1.06	0.473	0	1.519	1.059	0	0	0.944	0	1.004	0.155	0	0	0	0.395	0	1.274	0	2.226	0	0	0	1.091	0	0.821	0	1.287	0	0.732	0	0	0	0	1.636	0.453	0	0	0	0.786	0.663	0	0	0	0.496	0	1.144
XP015517319.1	14.505	2.83	7.035	16.099	14.706	10.211	17.566	1.909	16.365	19.174	18.61	7.735	67.123	49.344	71.081	59.553	7.108	9.734	20.956	23.379	26.549	26.641	57.822	32.258	22.672	25.206	23.593	13.003	8.285	8.988	19.22	11.907	43.724	43.434	48.64	29.993	48.092	63.256	58.962	40.953	33.038	30.423	20.39	21.5	32.404	30.403	22.739	14.652	15.567	9.938	19.227	13.975	11.005	24.006	4.329	15.749	22.588	33.046	22.614	41.468	43.198	27.224	29.12	30.805	41.224	34.282	23.499	15.063	16.538	19.108	30.972	17.847	21.406	23.876	17.833	9.276	9.124
XP015516675.1	0	0	0	5.34	0	0	0	0	2.234	0	0	0	4.08	0	0	0	0	4.031	0	0	0	0	0	1.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.371	0	0	0	0	0	0	0	0	0	0
XP015523222.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.241	2.697	0	3.371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.249	0	0	0	0	0	0	0	0	0	0
XP015517924.1	1.881	3.128	6.289	2.483	17.819	4.414	4.971	0	12.632	2.373	0	3.175	0	9.753	4.249	4.44	7.297	0	0	1.256	0	4.632	0	1.528	5.397	2.291	0	3.889	7.308	0	0	7.242	6.644	6.991	12.206	9.522	3.67	10.955	9.213	4.732	14.216	11.809	5.805	8.533	2.159	14.045	8.47	9.395	7.233	0	11.708	12.405	5.413	11.576	8.72	13.383	23.733	28.854	15.576	8.511	0	14.105	20.461	14.632	3.02	16.966	11.458	11.446	0	9.71	22.678	5.771	11.025	6.77	3.108	0	7.348
XP015514359.1	0	0	5.775	0	0	1.646	4.413	0	0	15.108	7.628	6.992	0	62.202	15.115	4.702	0	0	0	0	0	8.024	0	1.702	0	36.338	0	0	0	33.693	2.412	2.982	4.969	0	7.005	3.23	9.439	0	13.587	4.743	0.953	0.448	10.046	1.122	21.344	0	28.807	12.87	9.38	0	2.994	12.021	2.659	6.283	4.883	4.744	5.369	11.197	3.659	0	16.262	5.953	43.842	17.392	30.642	1.3	2.079	34.848	3.114	0	3.83	0	18.336	0	4.318	0	4.948
XP015516471.1	0.752	5.511	0	0	0	2.068	0	5.503	0	0.637	0	5.472	3.464	0	6.525	2.586	2.374	3.451	3.497	1.302	1.29	3.919	7.138	6.159	1.973	3.801	1.017	0	2.35	2.72	3.028	2.816	1.354	1.503	1.654	1.217	4.158	0	0.853	2.238	0.599	1.693	3.685	2.291	3.828	4.995	3.147	3.469	0	0	0.942	1.848	6.413	3.454	1.54	2.981	0	1.167	1.143	0.658	5.107	1.867	0	3.125	0.738	1.638	5.884	11.994	13.489	9.276	3.614	3.305	0.521	1.918	0.453	0	2.587
XP015524912.1	640.074	525.927	825.046	635.268	244.855	770.171	1025.111	204.297	348.039	530.453	381.92	615.814	827.297	793.187	922.609	1043.9	900.745	927.019	1360.085	590.98	556.007	1062.348	735.117	658.778	473.555	776.94	883.64	518.499	969.431	1515.106	943.671	1010.714	1179.916	1666.321	1259.55	2023.504	1400.619	1461.506	783.706	1263.2	1407.501	1710.084	1074.208	986.187	1651.104	1529.6	1334.134	1725.774	1365.865	1868.476	872.459	1552.382	1094.487	1382.686	977.763	1200.098	1153.134	1108.896	1675.233	873.171	897.208	858.052	567.65	877.424	353.721	815.678	912.61	1714.063	787.688	1142.818	761.236	1062.27	1344.07	1173.706	1003.178	246.418	805.209
XP015513507.1	13.46	6.256	20.114	6.483	0	8.696	15.352	5.166	6.503	18.118	7.333	10.032	50.594	37.934	47.811	52.432	66.198	71.64	64.807	47.195	48.989	59.146	47.684	76.454	77.482	76.437	59.661	82	57.49	36.8	55.259	84.925	80.075	57.031	61.545	54.097	62.316	101.561	86.408	81.951	89.641	141.226	129.386	132.35	36.956	77.478	52.444	58.675	50.911	58.866	48.867	60.768	96.386	97.294	84.128	106.969	68.265	88.193	57.348	94.933	74.624	108.29	91.526	95.105	106.044	93.682	146.593	87.21	78.421	90.195	86.446	73.171	75.201	75.443	86.986	94.221	149.322
XP015513444.1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.111	1.138	0	0	0	0	0	0	0	0	0	0	0	0	0	2.243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XP020709990.1	0	0	0	2.621	0	3.685	9.891	0	0	4.515	0	11.72	0	0	4.239	1.321	0	2.053	0	6.959	2.765	1.994	0	0	4.688	2.711	0	0	4.196	0.968	2.701	3.345	7.429	3.579	0.97	2.171	12.702	8.982	12.183	0	0	0	0	3.776	13.676	0	8.427	2.159	14.933	0	0	1.683	7.959	1.759	0	5.319	0	8.902	34.429	0	9.116	0	0	0	10.571	5.041	9.33	11.164	0	2.545	0	3.928	11.215	0	3.228	0	0
XP015517762.1	0	0	0	0	0	0	0	0	0	0.564	12.824	0	0	0	0	0.66	0	3.08	0	1.163	1.848	0.498	0	2.383	4.688	0	0	0	2.103	0.484	2.701	0	0.369	0	0.493	0	0	0	0	0	0	0.505	0	0.316	0	0	0	0	0	0	0	0.841	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
